,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,latitude,longitude,lat_3857,lon_3857
20,1957089935,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71682164,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Oosterhout (NB) - Boswachterij Dorst,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.6,4.85,5000.0,,,,,,2012-10-15T00:00:00Z,15,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71682164,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.210Z,,,51.603710284537,4.872302412984901,542382.2236043173,6728785.936888259
21,1957089978,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71682783,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Breda - Teteringse Heide en Cadettenkamp,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.6,4.85,5000.0,,,,,,2012-10-15T00:00:00Z,15,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71682783,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.210Z,,,51.611312870578004,4.850158095358,539917.1294421261,6730148.665783387
22,1957090576,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71679974,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Zwolle - Westerveldse Bos,Overijssel,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.5,6.05,5000.0,,,,,,2012-10-15T00:00:00Z,15,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71679974,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.204Z,,,52.548155118357,6.086007356643701,677491.2399056937,6899852.304774628
23,1957100261,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71646324,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Utrecht - Voordorp,Utrecht,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.1,5.1,5000.0,,,,,,2011-07-11T00:00:00Z,11,7,2011,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71646324,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.212Z,,,52.109025643,5.14929682016,573217.099963634,6819862.74615994
24,1957118230,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71579784,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Eijsden - Hoog Caestert e.o.,Limburg,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,50.75,5.7,5000.0,,,,,,2012-10-09T00:00:00Z,9,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71579784,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.208Z,,,50.7691132196,5.718560814859999,636587.2779805827,6580553.697996047
25,1957122041,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71566381,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Noordhollands Duinreservaat - Terrein Bakkum,Noord-Holland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.55,4.6,5000.0,,,,,,2012-10-07T00:00:00Z,7,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71566381,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.875Z,,,52.5643988645,4.62764203549,515146.75496429484,6902826.481487576
26,1957127394,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71544441,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Ameland (gemeente) ,Friesland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,53.4,5.7,5000.0,,,,,,2012-10-07T00:00:00Z,7,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71544441,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.219Z,,,53.4421996205,5.721044540399999,636863.7650429658,7065215.45516536
27,1957154167,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71447089,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Almere - Pampushout,Flevoland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.35,5.15,5000.0,,,,,,2012-09-24T00:00:00Z,24,9,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71447089,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.210Z,,,52.362765008800004,5.15738904476,574117.9222854909,6865985.685048296
28,1957156258,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71440742,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Zwolle - Westerveldse Bos,Overijssel,,5,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.5,6.05,5000.0,,,,,,2012-10-01T00:00:00Z,1,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71440742,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.205Z,,,52.5464979541,6.0843873024,677310.8962922274,6899548.945312552
29,1957169066,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71400789,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Almere - De Poort,Flevoland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.35,5.15,5000.0,,,,,,2012-09-29T00:00:00Z,29,9,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71400789,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.349Z,,,52.362434639700005,5.156560242169999,574025.6604032038,6865925.461049442
